From country,To country,Points
Albania,Armenia,"
"
Albania,Australia,3
Albania,Austria,"
"
Albania,Azerbaijan,"
"
Albania,Belgium,1
Albania,Cyprus,"
"
Albania,Estonia,4
Albania,France,"
"
Albania,Georgia,"
"
Albania,Germany,"
"
Albania,Greece,10
Albania,Hungary,"
"
Albania,Israel,5
Albania,Italy,12
Albania,Latvia,"
"
Albania,Lithuania,"
"
Albania,Montenegro,6
Albania,Norway,"
"
Albania,Poland,"
"
Albania,Romania,"
"
Albania,Russia,8
Albania,Serbia,2
Albania,Slovenia,"
"
Albania,Spain,"
"
Albania,Sweden,7
Albania,United Kingdom,"
"
Armenia,Albania,"
"
Armenia,Australia,1
Armenia,Austria,"
"
Armenia,Azerbaijan,"
"
Armenia,Belgium,4
Armenia,Cyprus,"
"
Armenia,Estonia,"
"
Armenia,France,3
Armenia,Georgia,10
Armenia,Germany,"
"
Armenia,Greece,5
Armenia,Hungary,"
"
Armenia,Israel,"
"
Armenia,Italy,6
Armenia,Latvia,2
Armenia,Lithuania,"
"
Armenia,Montenegro,8
Armenia,Norway,"
"
Armenia,Poland,"
"
Armenia,Romania,"
"
Armenia,Russia,12
Armenia,Serbia,"
"
Armenia,Slovenia,"
"
Armenia,Spain,"
"
Armenia,Sweden,7
Armenia,United Kingdom,"
"
Australia,Albania,"
"
Australia,Armenia,"
"
Australia,Austria,"
"
Australia,Azerbaijan,"
"
Australia,Belgium,6
Australia,Cyprus,"
"
Australia,Estonia,3
Australia,France,"
"
Australia,Georgia,1
Australia,Germany,"
"
Australia,Greece,"
"
Australia,Hungary,"
"
Australia,Israel,2
Australia,Italy,8
Australia,Latvia,7
Australia,Lithuania,"
"
Australia,Montenegro,"
"
Australia,Norway,4
Australia,Poland,"
"
Australia,Romania,"
"
Australia,Russia,10
Australia,Serbia,5
Australia,Slovenia,"
"
Australia,Spain,"
"
Australia,Sweden,12
Australia,United Kingdom,"
"
Austria,Albania,"
"
Austria,Armenia,"
"
Austria,Australia,12
Austria,Azerbaijan,"
"
Austria,Belgium,5
Austria,Cyprus,"
"
Austria,Estonia,6
Austria,France,"
"
Austria,Georgia,"
"
Austria,Germany,"
"
Austria,Greece,"
"
Austria,Hungary,"
"
Austria,Israel,2
Austria,Italy,10
Austria,Latvia,1
Austria,Lithuania,"
"
Austria,Montenegro,"
"
Austria,Norway,4
Austria,Poland,"
"
Austria,Romania,"
"
Austria,Russia,8
Austria,Serbia,3
Austria,Slovenia,"
"
Austria,Spain,"
"
Austria,Sweden,7
Austria,United Kingdom,"
"
Azerbaijan,Albania,"
"
Azerbaijan,Armenia,"
"
Azerbaijan,Australia,"
"
Azerbaijan,Austria,"
"
Azerbaijan,Belgium,"
"
Azerbaijan,Cyprus,"
"
Azerbaijan,Estonia,4
Azerbaijan,France,"
"
Azerbaijan,Georgia,10
Azerbaijan,Germany,"
"
Azerbaijan,Greece,"
"
Azerbaijan,Hungary,"
"
Azerbaijan,Israel,7
Azerbaijan,Italy,8
Azerbaijan,Latvia,5
Azerbaijan,Lithuania,"
"
Azerbaijan,Montenegro,2
Azerbaijan,Norway,"
"
Azerbaijan,Poland,"
"
Azerbaijan,Romania,"
"
Azerbaijan,Russia,12
Azerbaijan,Serbia,"
"
Azerbaijan,Slovenia,3
Azerbaijan,Spain,1
Azerbaijan,Sweden,6
Azerbaijan,United Kingdom,"
"
Belarus,Albania,"
"
Belarus,Armenia,4
Belarus,Australia,6
Belarus,Austria,"
"
Belarus,Azerbaijan,"
"
Belarus,Belgium,8
Belarus,Cyprus,"
"
Belarus,Estonia,7
Belarus,France,"
"
Belarus,Georgia,3
Belarus,Germany,"
"
Belarus,Greece,"
"
Belarus,Hungary,"
"
Belarus,Israel,2
Belarus,Italy,1
Belarus,Latvia,5
Belarus,Lithuania,"
"
Belarus,Montenegro,"
"
Belarus,Norway,"
"
Belarus,Poland,"
"
Belarus,Romania,"
"
Belarus,Russia,12
Belarus,Serbia,"
"
Belarus,Slovenia,"
"
Belarus,Spain,"
"
Belarus,Sweden,10
Belarus,United Kingdom,"
"
Belgium,Albania,6
Belgium,Armenia,3
Belgium,Australia,4
Belgium,Austria,"
"
Belgium,Azerbaijan,"
"
Belgium,Cyprus,"
"
Belgium,Estonia,2
Belgium,France,"
"
Belgium,Georgia,1
Belgium,Germany,"
"
Belgium,Greece,"
"
Belgium,Hungary,"
"
Belgium,Israel,"
"
Belgium,Italy,8
Belgium,Latvia,7
Belgium,Lithuania,"
"
Belgium,Montenegro,"
"
Belgium,Norway,"
"
Belgium,Poland,"
"
Belgium,Romania,5
Belgium,Russia,10
Belgium,Serbia,"
"
Belgium,Slovenia,"
"
Belgium,Spain,"
"
Belgium,Sweden,12
Belgium,United Kingdom,"
"
Cyprus,Albania,"
"
Cyprus,Armenia,"
"
Cyprus,Australia,4
Cyprus,Austria,"
"
Cyprus,Azerbaijan,"
"
Cyprus,Belgium,7
Cyprus,Estonia,2
Cyprus,France,"
"
