Actor,Movie
"Chinlund, Nick",100 Mile Rule
"Mavity, Abigail",100 Mile Rule
"McKean, Michael",100 Mile Rule
"Carter, Jim",102 Dalmatians 
"Crompton, Ben",102 Dalmatians 
"Depardieu, Gérard",102 Dalmatians 
"McInnerny, Tim",102 Dalmatians 
"Buscemi, Steve",13 Moons
"Banderas, Antonio",13th Warrior
"Banderas, Antonio",13th Warrior / Instinct 
"Depardieu, Gérard",1492: Conquest Of Paradise
"Brooks, Avery",15 Minutes 
"Burns, Edward",15 Minutes 
"DiResta, John",15 Minutes 
"Farmiga, Vera",15 Minutes 
"Kanakaredes, Melina",15 Minutes 
"Niro, Robert De",15 Minutes 
"Roden, Karel",15 Minutes 
"Aaron, Caroline",2 Days
"Astin, Mackenzie",2 Days
"Rudd, Paul",2 Days
"Scott, Adam",2 Days
"Affleck, Ben",200 Cigarettes 
"Affleck, Casey",200 Cigarettes 
"Chappelle, David",200 Cigarettes 
"Díaz, Guillermo",200 Cigarettes 
"Featherstone, Angela",200 Cigarettes 
"Buscemi, Steve",28 Days 
"West, Dominic",28 Days 
"Rapaport, Michael",29 Palms 
"Barrymore, Drew",50 First Dates 
"Campbell, Neve",54
"Jenkins, Noam",54
"Mathison, Cameron",54
"Meyer, Breckin",54
"Myers, Mike",54
"Rapaport, Michael",6th Day
"Basinger, Kim",8 Mile 
Eminem,8 Mile 
"Murphy, Brittany",8 Mile 
"Richards, Denise",8 Mile 
"Baer, Jean De",84 Charing Cross Road
"Bancroft, Anne",84 Charing Cross Road
"David, Eleanor",84 Charing Cross Road
"Dench, Judi",84 Charing Cross Road
"Denham, Maurice",84 Charing Cross Road
"McNeice, Ian",84 Charing Cross Road
"Ruehl, Mercedes",84 Charing Cross Road
"Baranski, Christine",9 1/2 Weeks 
"Basinger, Kim",9 1/2 Weeks 
"Margulies, David",9 1/2 Weeks 
"Rourke, Mickey",9 1/2 Weeks 
"Berkoff, Steven",9 Dead Gay Guys
"Braithwaite, Jamal",11-Sep
"Buscemi, Steve",11-Sep
"Casaliggi, Joseph",11-Sep
"Naudet, Gédéon",11-Sep
"Naudet, Jules",11-Sep
"Niro, Robert De",11-Sep
"McCormack, Will",Abandon 
"Rampling, Charlotte",Aberdeen
"Baranski, Christine","Academy Award Winning Movies, Vol. 1: Chicago / Frida / Life Is Beautiful"
"Feore, Colm","Academy Award Winning Movies, Vol. 1: Chicago / Frida / Life Is Beautiful"
"West, Dominic","Academy Award Winning Movies, Vol. 1: Chicago / Frida / Life Is Beautiful"
"Zellweger, Renée","Academy Award Winning Movies, Vol. 1: Chicago / Frida / Life Is Beautiful"
"Zeta-Jones, Catherine","Academy Award Winning Movies, Vol. 1: Chicago / Frida / Life Is Beautiful"
"Affleck, Ben","Academy Award Winning Movies, Vol. 2: Good Will Hunting / Cider House Rules / Sling Blade"
"Damon, Matt","Academy Award Winning Movies, Vol. 2: Good Will Hunting / Cider House Rules / Sling Blade"
"Sinise, Gary","Academy Award Winning Movies, Vol. 2: Good Will Hunting / Cider House Rules / Sling Blade"
"Affleck, Ben","Academy Award Winning Movies, Vol. 3: Shakespeare In Love / English Patient / Il Postino"
"Callow, Simon","Academy Award Winning Movies, Vol. 3: Shakespeare In Love / English Patient / Il Postino"
"Carter, Jim","Academy Award Winning Movies, Vol. 3: Shakespeare In Love / English Patient / Il Postino"
"Clunes, Martin","Academy Award Winning Movies, Vol. 3: Shakespeare In Love / English Patient / Il Postino"
"Dench, Judi","Academy Award Winning Movies, Vol. 3: Shakespeare In Love / English Patient / Il Postino"
"Rush, Geoffrey","Academy Award Winning Movies, Vol. 3: Shakespeare In Love / English Patient / Il Postino"
"Sher, Antony","Academy Award Winning Movies, Vol. 3: Shakespeare In Love / English Patient / Il Postino"
"Carrey, Jim",Ace Ventura Collection: Ace Ventura: Pet Detective / Ace Ventura: When Nature Calls 
"McNeice, Ian",Ace Ventura Collection: Ace Ventura: Pet Detective / Ace Ventura: When Nature Calls 
"Carrey, Jim",Ace Ventura: Pet Detective 
"McNeice, Ian",Ace Ventura: Pet Detective 
"Carrey, Jim",Ace Ventura: Pet Detective / The Mask 
"McNeice, Ian",Ace Ventura: Pet Detective / The Mask 
"Callow, Simon",Ace Ventura: When Nature Calls 
"Carrey, Jim",Ace Ventura: When Nature Calls 
"Davidson, Tommy",Ace Ventura: When Nature Calls 
"Eziashi, Maynard",Ace Ventura: When Nature Calls 
"McNeice, Ian",Ace Ventura: When Nature Calls 
"Clunes, Martin",Acid House
"McKidd, Kevin",Acid House
"Applegate, Christina",Across The Moon
"Berg, Peter",Across The Moon
"McKean, Michael",Across The Moon
"Meredith, Burgess",Across The Moon
"Nance, Jack",Across The Moon
"Affleck, Ben",Action Pack B 
"Ben-Victor, Paul",Action Pack B 
"Farrell, Colin",Action Pack B 
"Favreau, Jon",Action Pack B 
"Orser, Leland",Action Pack B 
"Barrymore, Drew",Action Packed: Gun Crazy / The Presence / Shattered Image / Chains Of Gold
"Farley, Chris",Adam Sandler Collection: Billy Madison / Bulletproof / Happy Gilmore
"Arquette, Alexis",Adam Sandler's Nice 'n Naughty Pack: Little Nicky 
